rollout/exploration_rate,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/episodes
0.01,6.58,2079,12,4.54634592,26228,4392
0.01,6.33,2081,12,4.354500979999999,26245,4396
0.01,6.18,2083,12,4.23153051,26277,4400
0.01,6.2,2085,12,4.252373110000001,26300,4404
0.01,6.18,2088,12,4.22515457,26341,4408
0.01,6.12,2090,12,4.177370669999999,26357,4412
0.01,6.23,2093,12,4.25021612,26396,4416
0.01,6.06,2094,12,4.11997961,26407,4420
0.01,5.89,2094,12,3.98780212,26417,4424
0.01,5.98,2096,12,4.059520389999999,26441,4428
0.01,5.74,2098,12,3.8694103799999993,26456,4432
0.01,5.79,2099,12,3.91555429,26476,4436
0.01,5.73,2100,12,3.86851934,26491,4440
0.01,5.59,2102,12,3.7609292299999995,26517,4444
0.01,5.64,2104,12,3.80095313,26536,4448
0.01,5.55,2105,12,3.7478331700000003,26553,4452
0.01,5.42,2106,12,3.6385092799999996,26566,4456
0.01,5.46,2108,12,3.666346800000001,26586,4460
0.01,5.46,2109,12,3.6544511000000006,26601,4464
0.01,5.67,2113,12,3.81938313,26653,4468
0.01,5.6,2115,12,3.76597883,26674,4472
0.01,5.6,2116,12,3.7731512200000004,26692,4476
0.01,5.61,2118,12,3.77542219,26716,4480
0.01,5.59,2120,12,3.7714021599999996,26737,4484
0.01,5.57,2121,12,3.7573700899999993,26757,4488
0.01,5.57,2124,12,3.74136646,26785,4492
0.01,5.59,2125,12,3.7620422399999995,26804,4496
0.01,5.41,2126,12,3.61878164,26818,4500
0.01,5.38,2128,12,3.6128665800000004,26838,4504
0.01,5.09,2129,12,3.41252782,26850,4508
0.01,5.14,2131,12,3.45898331,26871,4512
0.01,4.92,2132,12,3.30029783,26888,4516
0.01,5.07,2134,12,3.4230156,26914,4520
0.01,5.22,2136,12,3.53077518,26939,4524
0.01,5.47,2140,12,3.7003207000000002,26988,4528
0.01,5.5,2141,12,3.7361102199999987,27006,4532
0.01,5.53,2143,12,3.77765453,27029,4536
0.01,5.62,2145,12,3.8471694399999996,27053,4540
0.01,5.65,2147,12,3.8614042399999993,27082,4544
0.01,5.65,2149,12,3.8688776900000006,27101,4548
0.01,5.72,2151,12,3.91383327,27125,4552
0.01,5.84,2153,12,4.01518627,27150,4556
0.01,5.86,2154,12,4.02831312,27172,4560
0.01,5.91,2156,12,4.07673056,27192,4564
0.01,5.61,2158,12,3.8474111299999993,27214,4568
0.01,5.6,2159,12,3.8536877699999996,27234,4572
0.01,5.6,2161,12,3.8405392099999993,27252,4576
